opened_by,contact_type,location,category,subcategory,u_symptom,assignment_group,reassignment_required,opened_at_dt,opened_hour,opened_day_of_week,opened_month,opened_is_weekend,impact_encoded,urgency_encoded,priority_encoded
Opened by  8,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,Group 56,0,2016-02-29 01:16:00,1,0,2,0,2,2,2
Opened by  397,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,Group 70,1,2016-02-29 04:40:00,4,0,2,0,2,2,2
Opened by  8,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,Group 70,0,2016-02-29 06:10:00,6,0,2,0,2,2,2
Opened by  180,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,Group 25,0,2016-02-29 06:38:00,6,0,2,0,2,2,2
Opened by  180,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,Group 70,1,2016-02-29 06:58:00,6,0,2,0,2,2,2
Opened by  180,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,Group 70,1,2016-02-29 07:08:00,7,0,2,0,2,2,2
Opened by  131,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,Group 70,1,2016-02-29 07:10:00,7,0,2,0,2,2,2
Opened by  131,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,Group 5,1,2016-02-29 07:38:00,7,0,2,0,2,2,2
Opened by  24,Phone,Location 161,Category 55,Subcategory 185,,Group 70,1,2016-02-29 08:03:00,8,0,2,0,2,2,2
Opened by  180,Phone,Location 143,Category 9,Subcategory 110,Symptom 470,Group 70,1,2016-02-29 08:03:00,8,0,2,0,2,2,2
Opened by  131,Phone,Location 46,Category 9,Subcategory 164,Symptom 592,Group 70,1,2016-02-29 08:11:00,8,0,2,0,2,2,2
Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 470,Group 24,0,2016-02-29 08:12:00,8,0,2,0,2,2,2
Opened by  40,Phone,Location 42,Category 53,Subcategory 271,Symptom 470,Group 70,1,2016-02-29 08:22:00,8,0,2,0,2,2,2
Opened by  433,Phone,Location 204,Category 45,Subcategory 220,,Group 66,0,2016-02-29 08:23:00,8,0,2,0,2,2,2
Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 470,Group 23,0,2016-02-29 08:25:00,8,0,2,0,2,2,2
Opened by  180,Phone,Location 108,Category 32,Subcategory 9,Symptom 470,Group 70,0,2016-02-29 08:27:00,8,0,2,0,2,2,2
Opened by  180,Phone,Location 204,Category 8,Subcategory 291,Symptom 530,Group 70,1,2016-02-29 08:32:00,8,0,2,0,2,2,2
Opened by  24,Phone,Location 229,Category 32,Subcategory 9,Symptom 4,Group 70,0,2016-02-29 08:33:00,8,0,2,0,2,2,2
